Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Laila O Laila,"Amit Kumar, Kanchan",Bollywood Dance,Qurbani,8.8
Jaane De,Atif Aslam,Bollywood,Qarib Qarib Singlle,9.6
Dilli Wali Girlfriend,"Arijit Singh, Sunidhi Chauhan",Bollywood Dance,Yeh Jawaani Hai Deewani,9.2
Mar Jaayen,Atif Aslam,Bollywood Sad,Loveshhuda,9.7
I Love My India,"Hariharan, Kavita Krishnamurthy",Bollywood Dance,Pardes,8.6
O Sahiba O Sahiba,"Kavita Krishnamurthy, Sonu Nigam",Bollywood Sad,Dil Hai Tumhaara,8.7
O Saaki Saaki,"Sukhwinder Singh, Sunidhi Chauhan",Bollywood Dance,Musafir,9.2
Let’s Talk About Love,"Manj Musik, Neha Kakkar, Raftaar",Bollywood Dance,Baaghi,9.2
Satakli,Sukhwinder Singh,Bollywood Dance,Happy New Year,9.2
Kashmir Main Tu Kanyakumari,"Arijit Singh, Neeti Mohan, Sunidhi Chauhan",Bollywood Dance,Chennai Express,9.3
Kaala Doreya,Neha Bhasin,Bollywood,Kaalakaandi,9.3
Raabta,"Arijit Singh, Hamsika, Joi",Bollywood Romantic,Agent Vinod,9.5
Vele,"Shekhar Ravjiani, Vishal Dadlani",Bollywood Dance,Student of the Year,9.5
440 Volt,Mika Singh,Bollywood Dance,Sultan,8.9
Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",Bollywood Dance,Housefull,9.1
Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",Bollywood Dance,Raja Hindustani,8.7
Kisi Ki Muskurahaton Se,Mukesh,Bollywood Dance,Anari,9.6
Bawara Mann,"Jubin Nautiyal, Neeti Mohan",Bollywood Romantic,Jolly LLB 2,9.3
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",Bollywood Dance,Guru,9.6
Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",Bollywood Dance,Golmaal Again,8.7
Desi Look,Kanika Kapoor,Bollywood Dance,Ek Paheli Leela,8.7
Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",Bollywood Dance,Yaadein,8.9
Sarsariya,"Shashaa Tirupati, Shashwat Singh",Bollywood Romantic,Mohenjo Daro,9.2
Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",Bollywood Patriotic,Lakshya,9.5
Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",Bollywood Dance,Om Shanti Om,9.3
Tareefan Remix,Badshah,Bollywood Dance,Veere Di Wedding,9.3
Samjhawan,"Arijit Singh, Shreya Ghoshal",Bollywood Sad,Humpty Sharma Ki Dulhania,9.4
Bam Lahiri,Kailash Kher,Bollywood Dance,Shor in the City,9.3
Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",Bollywood Dance,Bajrangi Bhaijaan,8.9
Dhating Naach,"Nakash Aziz, Neha Kakkar",Bollywood Dance,Phata Poster Nikhla Hero,9.2
Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,Bollywood Sad,Barkhaa,9.5
O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",Bollywood Sad,Dil,7.6
Manchala,"Nupur Pant, Shafqat Amanat Ali",Bollywood Sad,Hasee Toh Phasee,9.6
Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",Bollywood Sad,Rang De Basanti,9.7
Prem Leela,"Aaman Trikha, Vineet Singh",Bollywood Dance,Prem Ratan Dhan Payo,8.0
Khuda Jaane,"K.K., Shilpa Rao",Bollywood Romantic,Bachna Ae Haseeno,9.4
Premika,"Benny Dayal, Kanika Kapoor",Bollywood Dance,Dilwale,9.5
Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",Bollywood Romantic,Aa Gale Lag Jaa,9.2
Character Dheela,"Amrita Kak, Neeraj Shridhar",Bollywood Dance,Ready,9.3
Munni Badnam Hui,"Aishwarya, Mamta Sharma",Bollywood Dance,Dabangg,8.8
Saadda Haq,Mohit Chauhan,Bollywood Dance,Rockstar,9.4
Rehnuma,"Inder Bawra, Shreya Ghoshal",Bollywood Romantic Sad,Rocky Handsome,9.5
Ilahi,Arijit Singh,Bollywood Dance,Yeh Jawaani Hai Deewani,9.5
Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",Bollywood Dance,Hate Story 3,9.1
Phir Le Aya Dil,Shafqat Amanat Ali,Bollywood Sad,Barfi,9.7
Main Yahaan Hoon,Udit Narayan,Bollywood Dance,Veer Zaara,9.4
Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Bollywood Dance,Mohabbatein,9.1
Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",Bollywood Dance,Shubh Mangal Saavdhan,8.9
Khol De Par,Arijit Singh,Bollywood,Hichki,9.3
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Mohabbatein,9.1
Be Intehaan,"Atif Aslam, Sunidhi Chauhan",Bollywood Romantic,Race 2,9.4
Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",Bollywood Romantic,Yeh Jawaani Hai Deewani,9.5
Dholna,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Dil To Pagal Hai,9.1
Koi Ishaara,Armaan Malik,Bollywood Romantic Sad,Force 2,9.6
Phir Bhi Dil Hai Hindustani,Udit Narayan,Bollywood Dance Patriotic,Phir Bhi Dil Hai Hindustani,9.0
Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",Bollywood Dance,Sooryavansham,8.5
Hale Dil,Harshit Saxena,Bollywood Romantic,Murder 2,9.2
Aaoge Jab Tum,Rashid Khan,Bollywood Sad,Jab We Met,9.3
Tinku Jiya,"Javed Ali, Mamta Sharma",Bollywood Dance,Yamla Pagla Deewana,9.0
Lakshya – Title Track,Shankar Mahadevan,Bollywood Motivational Patriotic,Lakshya,9.6
Pretty Woman,"Ravi Khote, Shankar Mahadevan",Bollywood Dance,Kal Ho Naa Ho,9.5
Silsila Ye Chaahat Ka,Shreya Ghoshal,Bollywood Romantic,Devdas,9.4
Helicopter,"Neha Kakkar, Tony Kakkar",Bollywood Dance,Ranchi Diaries,9.3
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,Bollywood Sad,Kabhi Khushi Kabhie Gham,9.2
Chak Lein De,Kailash Kher,Bollywood Motivational,Chandni Chowk To China,9.3
Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",Bollywood Romantic Sad,Aashiqui 2,9.5
Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",Bollywood Dance,Vivah,8.1
Badi Mushkil Hai,Abhijeet,Bollywood Romance,Anjaam,9.2
Toh Dishoom,"Raftaar, Shahid Mallya",Bollywood Dance,Dishoom,9.4
Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",Bollywood Romantic,Happy Phir Bhaag Jayegi,9.5
Hu Ba Hu,Amit Trivedi,Bollywood Dance,Padman,9.4
Kitna Pagal Dil Hai,Kumar Sanu,Bollywood Romantic,Andaaz,8.6
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,Bollywood Sad,Firangi,9.6
Mehfooz,Yasser Desai,Bollywood Romantic Sad,Tera Intezaar,9.2
Veerey Ki Wedding,Navraj Hans,Bollywood Dance,Veerey Ki Wedding,9.2
Ek Pal Ka Jeena,Lucky Ali,Bollywood Dance,Kaho Naa.... Pyaar Hai,9.2
Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",Bollywood Romantic,Toilet Ek Prem Katha,9.2
Jal Rahin Hain,Kailash Kher,Bollywood,Bahubali - The Beginning,8.9
Tum Jo Mile,Armaan Malik,Bollywood Romantic,Saansein,9.6
Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",Bollywood Dance,Love,9.3
Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",Bollywood Dance,Sanam Re,9.0
Bheegi Si Bhaagi Si,Mohit Chauhan,Bollywood Romance,Raajneeti,9.6
Chura Liya Hai,Mohammed Rafi,Bollywood Romantic,Yaadon Ki Barat,9.0
Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",Bollywood Dance,Housefull 2,9.2
Crazy Kiya Re,Sunidhi Chauhan,Bollywood Dance,Dhoom 2,9.3
Ziddi Dil,Vishal Dadlani,Bollywood Motivational,Mary Kom,9.4
Abhi Abhi,K.K.,Bollywood Romantic Sad,Jism 2,8.7
Bahara,"Shreya Ghoshal, Sona Mohapatra",Bollywood Romantic,I Hate Luv Storys,9.6
Dekh Lena,"Arijit Singh, Tulsi Kumar",Bollywood Romantic,Tum Bin 2,9.3
Dheere Dheere Se Meri Zindagi Mein Aana,"Anuradha Paudwal, Kumar Sanu",Bollywood,Aashiqui,8.9
Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",Bollywood Romantic,ZiD,9.3
Afeemi,"Jigar Saraiya, Sanah Moidutty",Bollywood Romantic,Meri Pyaari Bindu,9.5
Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",Bollywood Dance,Salaam-E-Ishq,9.5
Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",Bollywood Dance,Phillauri,9.0
Behka,Vibha Saraf,Bollywood Dance,High Jack,9.5
Pyar Ke Liye,Alka Yagnik,Bollywood Romantic,Dil Kya Kare,9.2
Dil Na Diya,Kunal Ganjawala,Bollywood Dance,Krrish,8.8
Sukoon Mila,Arijit Singh,Bollywood Romantic,Mary Kom,9.6
Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Dil To Pagal Hai,8.7
Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",Bollywood Romantic,Vivah,8.3
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Bollywood Romantic,Rab Ne Bana Di Jodi,9.3
Palki Mein Hoke Sawar Chali Re,Alka Yagnik,Bollywood Dance,Khal Nayak,8.4
Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Mujhse Dosti Karoge!,9.1
Dhinka Chika,"Amrita Kak, Mika Singh",Bollywood Dance,Ready,8.3
Main Agar,Atif Aslam,Bollywood Romantic,Tubelight,9.6
Kyon,"Papon, Sunidhi Chauhan",Bollywood Romantic,Barfi,9.6
Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",Bollywood Sad,Aap Kaa Surroor,8.9
Daayre,Arijit Singh,Bollywood Romantic,Dilwale,9.5
Sahiba,"Pawni Pandey, Romy",Bollywood Sad,Phillauri,9.5
Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",Bollywood Dance Romantic,Dil Ka Rishta,8.8
Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",Bollywood Patriotic,Veer Zaara,9.0
Lost Without You,"Ami Mishra, Anushka Shahaney",Bollywood Sad,Half Girlfriend,9.6
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",Bollywood Romantic Sad,Rustom,9.6
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",Bollywood Dance,Bareilly Ki Barfi,9.6
Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",Bollywood Romantic,Andaaz,8.7
Ye Toh Sach Hai Ke Bhagwan,Hariharan,Bollywood Dance,Hum Saath-Saath Hain,8.5
Dastaan-e-Om Shanti Om,Shaan,Bollywood Dance,Om Shanti Om,9.5
Saanson Ke,K.K.,Bollywood Sad,Raees,9.6
O Jiji,"Pamela Jain, Shreya Ghoshal",Bollywood Dance,Vivah,8.2
Hug Me,"Kanika Kapoor, Raghav Sachar",Bollywood Dance,Beiimaan Love,9.1
Halkat Jawani,Sunidhi Chauhan,Bollywood Dance,Heroine,9.3
Ek Dil Hai,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Ek Rishtaa,8.6
Black Jama Hai,Sukhwinder Singh,Bollywood,Raid,9.3
Confused Lover,"Aaniya, Mika Singh",Bollywood Dance,Teri Bhabhi Hai Pagle,9.5
Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,Bollywood Dance,Saajan,9.1
Afsana,"Himesh Reshammiya, Tulsi Kumar",Bollywood Dance,Dil Diya Hai,9.2
Naina,"Armaan Malik, Sona Mohapatra",Bollywood Romantic Sad,Khoobsurat,9.6
Naina,"Armaan Malik, Sona Mohapatra",Bollywood Sad,Khoobsurat,9.6
Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",Bollywood Dance,Kranti,8.8
Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",Bollywood Dance,Housefull 2,8.8
Jab Dil Miley,"Asha Bhosle, Udit Narayan",Bollywood Dance,Yaadein,9.1
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Bollywood Romantic,Mohabbatein,9.0
Make Some Noise For The Desi Boyz,"Bob, K.K.",Bollywood Dance,Desi Boyz,9.3
Aga Bhai,Monali Thakur,Bollywood Dance,Aiyyaa,9.1
Sehmi Hai Dhadkan,Atif Aslam,Bollywood Sad,Daas Dev,9.7
Jawaani Le Doobi,"Kanika Kapoor, Uvie",Bollywood Dance,Kyaa Kool Hain Hum 3,9.0
Humko Tumse Pyar Hai,Abhijeet,Bollywood Dance,Ishq,9.1
Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",Bollywood Dance,Raabta,9.2
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",Bollywood Romantic,Raaz,9.6
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.4
Dhoom Machale,Sunidhi Chauhan,Bollywood Dance Romantic,Dhoom,9.0
Door Na Ja,Sonu Nigam,Bollywood Sad,Mitron,9.7
Ishq Shava,"Raghav Mathur, Shilpa Rao",Bollywood Dance,Jab Tak Hai Jaan,9.4
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",Bollywood Dance,Boss,9.3
Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",Bollywood Romantic,Saath Saath,9.2
Jaane Nahi Denge Tujhe,Sonu Nigam,Bollywood Sad,3 Idiots,9.1
Tadap Tadap,"Dominique, K.K.",Bollywood Sad,Hum Dil De Chuke Sanam,8.9
Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",Bollywood Dance,Shaandaar,9.3
Sapna Jahan,"Neeti Mohan, Sonu Nigam",Bollywood Sad,Brothers,9.7
Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",Bollywood Dance,Hum Se Hai Muqabala,9.4
Tere Bina,"Arijit Singh, Priya Saraiya",Bollywood Romantic,Haseena Parkar,8.9
Hoor,Atif Aslam,Bollywood Sad,Hindi Medium,9.3
Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",Bollywood Dance Romantic,Tum Bin,8.8
Sanson Ki Zarurat Hai Jaise,Kumar Sanu,Bollywood Romantic,Aashiqui,9.0
Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",Bollywood Dance Romantic,3 Idiots,9.1
Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",Bollywood Dance,Daawat e Ishq,9.3
Intezaar,Shreya Ghoshal,Bollywood Sad,Tera Intezaar,9.2
Agar Tu Hota,Ankit Tiwari,Bollywood Sad,Baaghi,9.5
Hai Dil,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Dil Ka Rishta,8.8
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",Bollywood Sad,Soorma,9.7
Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",Bollywood Sad,Welcome To New York,9.4
Twist,Neeraj Shridhar,Bollywood Dance,Love Aj Kal,9.2
You’re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",Bollywood Dance Romantic,Partner,9.0
Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",Bollywood Dance,R... Rajkumar,8.9
Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",Bollywood Sad,Hum Aapke Hain Koun,8.6
Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",Bollywood Dance,Cocktail,9.1
Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",Bollywood Sad,Dangerous Ishq,9.0
Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",Bollywood Romantic,My Name is Khan,9.6
Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",Bollywood Sad,Mubarakan,9.4
Gajanana,"Shreyas Puranik, Sukhwinder Singh",Bollywood Devotional,Bajirao Mastani,9.3
Tum Mile,Neeraj Shridhar,Bollywood Romantic,Tum Mile,9.5
Meri Khamoshi Hai,Ishan Mitra,Bollywood Sad,Pari,9.6
Oh My Darling,"Alisha Chinai, Sonu Nigam",Bollywood Dance,Mujhse Dosti Karoge!,9.1
Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",Bollywood Dance,Himmatwala,7.3
Tu Jo Hain,Ankit Tiwari,Bollywood Romantic Sad,Mr. X,9.5
Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",Bollywood Romantic,Gora Aur Kala,8.2
Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",Bollywood Dance,Mohenjo Daro,9.0
Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",Bollywood Dance,Aap Ki Kasam,8.4
Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",Bollywood Dance,Hum Tum,9.4
Drama Queen,"Shreya Ghoshal, Vishal Dadlani",Bollywood Dance,Hasee Toh Phasee,9.5
Khaike Paan Banaras Wala,Kishore Kumar,Bollywood Dance,Don,8.5
Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",Bollywood Romantic,Tum Mile,9.5
Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",Bollywood Dance,Gunday,8.8
Gudgudi,Sunidhi Chauhan,Bollywood,Secret Superstar,9.3
Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",Bollywood Sad,Hamari Adhuri Kahani,9.5
Bass Gira De Raja,Shashwat Sachdev,Bollywood,Veere Di Wedding,8.1
Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",Bollywood Romantic,Haath Ki Safai,8.7
Jhalla Wallah,Shreya Ghoshal,Bollywood Dance,Ishaqzaade,9.1
Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",Bollywood Sad,Devdas,9.2
Mujhko Barsaat Bana Lo,Armaan Malik,Bollywood Romantic,Junooniyat,9.3
Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",Bollywood Devotional,Veer Zaara,9.3
Ho Nahi Sakta,Udit Narayan,Bollywood Romantic,Diljale,8.7
Saale Sapne,Mohit Chauhan,Bollywood,Padman,9.5
Kaun Tujhe,Armaan Malik,Bollywood Romantic,M.S. Dhoni-The Untold Story,9.6
Tere Liye,"Atif Aslam, Shreya Ghoshal",Bollywood Dance,Prince,9.1
Tu Isaq Mera,"Meet Bros, Neha Kakkar",Bollywood Romantic Sensual,Hate Story 3,9.0
Shaam Shaandaar,Amit Trivedi,Bollywood Dance,Shaandaar,9.3
Banjaara,Sukhwinder Singh,Bollywood Dance Romantic,Ek Tha Tiger,9.1
Akkha India Janta Hai,Kumar Sanu,Bollywood Romantic,Jaan Tere Naam,8.2
Tharki Chokro,Swaroop Khan,Bollywood Dance,PK,8.6
Phir Se,"Nikhil Dsouza, Shreya Ghoshal",Bollywood,Phir Se,9.5
Gale Lag Ja,"Banjyotsna, Javed Ali",Bollywood Dance Sensual,De Dana Dan,9.4
Aadat (Juda Hoke Bhi),Atif Aslam,Bollywood Sad,Kalyug,9.3
Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",Bollywood Romantic,Shakti,8.9
Agar Tum Mil Jao,Shreya Ghoshal,Bollywood Romantic,Zeher,8.9
Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",Bollywood Dance,Ok Jaanu,9.3
Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",Bollywood Dance,Ishaqzaade,9.1
Didi Tera Devar Deewana,"Lata Mangeshkar, S.P. Balasubrahmanyam",Bollywood Dance,Hum Aapke Hain Koun,7.9
Saiyan Re,"Mohammed Irfan, Palak Muchhal",Bollywood Romantic,Nirdosh,9.7
Pal Pal Dil Ke Paas,Kishore Kumar,Bollywood Romantic,Blackmail,8.8
Rail Gaddi,"Navraj Hans, Swati Sharrma",Bollywood Dance,Tutak Tutak Tutiya,9.1
Ek Din Bik Jayega Mati Ke Mol,Mukesh,Bollywood Dance,Dharam Karam,9.1
Main Koi Aisa Geet,Abhijeet,Bollywood Dance,Yes Boss,9.4
Yeh Ishq Hai,Shreya Ghoshal,Bollywood Dance,Jab We Met,9.4
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",Bollywood Romantic,Ae Dil Hai Mushkil,9.7
Kaho Na Kaho,Amir Jamal,Bollywood Romantic Sensual,Murder,9.1
Imli Ka Boota,"Mohammad Aziz, Sudesh Bhonsle",Bollywood,Saudagar,8.4
Hey Shona,"Shaan, Sunidhi Chauhan",Bollywood Dance Romantic,Tara Rum Pum,9.3
Chalte Chalte,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",Bollywood Dance,Mohabbatein,9.2
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",Bollywood Romantic,Wake Up Sid,9.6
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,Bollywood Romantic,Anpadh,9.2
Tu Chahiye,Atif Aslam,Bollywood Romantic,Bajrangi Bhaijaan,9.3
Ole Ole,Abhijeet,Bollywood Dance,Ye Dillagi,9.1
Tutak Tutak Tutiya,"Kanika Kapoor, Malkit Singh, Sonu Sood",Bollywood Dance,Tutak Tutak Tutiya,8.9
Meri Duniya Tu Hi Re,"Shaan, Shankar Mahadevan, Sonu Nigam",Bollywood Dance,Heyy Babyy,9.0
Mujhko Yaad Sataye Teri,Himesh Reshammiya,Bollywood Dance,Phir Hera Pheri,9.2
Jane Kahan Gaye Woh Din,Mukesh,Bollywood Sad,Mera Naam Joker,8.8
Nonsense Ki Night,Mika Singh,Bollywood Dance,Happy New Year,9.2
Daaru Desi,"Benny Dayal, Shalmali Kholgade",Bollywood Dance,Cocktail,9.4
Fugly Fugly Kya Hai,Yo Yo Honey Singh,Bollywood Dance,Fugly,9.4
Buddhu Sa Mann,"Amaal Mallik, Armaan Malik",Bollywood Dance,Kapoor & Sons,9.4
Jiska Mujhe Tha Intezar,"Kishore Kumar, Lata Mangeshkar",Bollywood Romantic,Don,8.2
Raat Ka Nasha,K. S. Chithra,Bollywood Dance,Asoka,9.3
Zara Zara Touch Me,Monali Thakur,Bollywood Dance Sensual,Race,9.3
Wada Karo Nahi Chodoge,"Kishore Kumar, Lata Mangeshkar",Bollywood Romantic,Aa Gale Lag Jaa,9.1
Sajde,"Arijit Singh, Gulzar, Nihira Joshi Deshpande",Bollywood Romantic,Kill Dil,9.4
Khair Mangda,Atif Aslam,Bollywood Sad,A Flying Jatt,9.3
Tere Naal Ishqa,Kailash Kher,Bollywood Sad,Shivaay,9.4
Na Na Na Re,"Daler Mehndi, Sudesh Bhonsle",Bollywood Dance,Mrityudaata,8.8
Tum Aa Gaye Ho Noor Aa Gaya Hai,"Kishore Kumar, Lata Mangeshkar",Bollywood Romantic,Aandhi,9.0
Mujeh Naulakha Mangade,"Bappi Lahiri, Kishore Kumar",Bollywood Dance,Sharaabi,7.6
Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",Bollywood Dance,Band Baaja Baaraat,9.3
Awaaz Deke,"Lata Mangeshkar, Mohammed Rafi",Bollywood Romantic,Professor,8.3
Tum Tak,"A.R. Rahman, A.V. Pooja, Javed Ali, Kirti Sagathia",Bollywood Dance Romantic,Raanjhanaa,9.4
Chitta Ve,"Babu Haabi, Bhanu Pratap, Shahid Mallya",Bollywood Dance,Udta Punjab,8.9
Get Up Jawani,"Badshah, Yo Yo Honey Singh",Bollywood Dance,International Villager,9.4
Ji Huzoori,"Deepali, Mithoon",Bollywood Romantic,Ki & Ka,9.3
Dhingana,Mikha Singh,Bollywood Dance,Raees,9.3
Sapna,Arijit Singh,Bollywood Sad,Parmanu The Story of Pokhran,9.7
Bandeyaa,Jubin Nautiyal,Bollywood Sad,Jazbaa,9.5
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",Bollywood Devotional Sad,Chak De India,9.6
Rang De Basanti,"Daler Mehndi, K. S. Chithra",Bollywood Dance Patriotic,Rang De Basanti,9.4
Kundali,"Anita Gandharva, Meenal Jain, Meghna Mishra, Rani Kaur, Vaishnavi Mishra, Yashika Sikka, Yashita Sharma",Bollywood Dance,Manmarziyaan,9.2
Shuru Kar,"Amit Mishra, Neha Bhasin, Rochak Kohli",Bollywood Dance,Aiyaary,9.3
Je T’aime,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Befikre,9.5
Tooh,"Mamta Sharma, Mika Singh, Shekhar, Vishal",Bollywood Dance,Gori Tere Pyaar Mein,9.3
Main Tera Dhadkan Teri,"Hard Kaur, K.K., Sunidhi Chauhan",Bollywood Dance,Ajab Prem Ki Ghazab Kahani,9.5
Le Gayi,Asha Bhosle,Bollywood Dance,Dil Toh Pagal Hai,9.3
Le Gayi,Asha Bhosle,Bollywood Dance,Dil To Pagal Hai,9.3
Aankhein Khuli,"Ishaan, Lata Mangeshkar, Manohar Shetty, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Bollywood Dance,Mohabbatein,9.2
Rang Barse,Amitabh Bachchan,Bollywood Dance,Silsila,8.2
Gawah Hai Chand Tare,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Damini,8.5
Aisa Kyun Maa,Sunidhi Chauhan,Bollywood Sad,Neerja,9.7
Mera Mann Kehne Laga,Falak Shabir,Bollywood Dance,Nautanki Saala,9.6
Shut Up & Bounce,"Sunidhi Chauhan, Vishal Dadlani",Bollywood Romantic,Dostana,9.2
One Two Three Four,"Hamsika Iyer, Vishal Dadlani",Bollywood Dance,Chennai Express,9.3
Haseeno Ko Aate Hain,"Alka Yagnik, Udit Narayan",Bollywood Dance,Lahoo Ke Do Rang,8.3
Kasam Khake Kaho,"Alka Yagnik, Kumar Sanu",Bollywood Romantic,Dil Hai Tumhaara,8.6
Dil Ka Rishta,"Alka Yagnik, Kumar Sanu, Udit Narayan",Bollywood Romantic,Dil Ka Rishta,9.0
Sajdaa,"Rahat Fateh Ali Khan, Richa Sharma, Shankar Mahadevan",Bollywood Romantic,My Name is Khan,9.6
Mujhe Tumse Mohabbat Hai,"Shaan, Shreya Ghoshal",Bollywood Dance Romantic,Tumsa Nahin Dekha,8.7
